user_date,additions,deletions
Mike Bostock (2011-04-27T17:23:54Z),21,7
Jason Davies (2011-04-27T20:11:55Z),45,41
Mike Bostock (2011-04-27T22:46:49Z),25,21
Mike Bostock (2011-04-28T17:25:23Z),74,88
Mike Bostock (2011-04-28T18:43:26Z),22,12
Jason Davies (2011-04-29T09:02:28Z),30,37
Jason Davies (2011-04-29T09:14:15Z),4,9
Jason Davies (2011-04-29T14:14:55Z),110,0
Jason Davies (2011-04-29T15:09:56Z),27,8
Jason Davies (2011-04-29T23:19:42Z),109,0
Mike Bostock (2011-04-30T20:13:51Z),69,69
Mike Bostock (2011-04-30T20:19:28Z),19,1
Mike Bostock (2011-04-30T22:56:03Z),77,78
Mike Bostock (2011-04-30T22:58:56Z),128,0
Mike Bostock (2011-04-30T23:47:38Z),96,88
Mike Bostock (2011-04-30T23:50:45Z),242,93
Mike Bostock (2011-05-01T04:16:58Z),291,356
Mike Bostock (2011-05-01T04:18:52Z),652,4
Mike Bostock (2011-05-01T16:58:46Z),10,8
Mike Bostock (2011-05-01T19:31:34Z),8,4
Jason Davies (2011-05-01T23:04:06Z),217,1
Jason Davies (2011-05-01T23:15:09Z),20,0
Mike Bostock (2011-05-03T01:51:36Z),217,1
Jason Davies (2011-05-09T23:11:31Z),334,101
Mike Bostock (2011-05-10T03:32:27Z),1397,103
Jason Davies (2011-05-10T18:06:24Z),136,28
Jason Davies (2011-05-10T18:18:14Z),3,3
Mike Bostock (2011-05-09T02:54:40Z),164,62
Jason Davies (2011-05-09T08:05:44Z),7,25
Jason Davies (2011-05-10T21:42:16Z),9,3
Jason Davies (2011-05-11T16:26:48Z),49,32
Jason Davies (2011-05-12T09:10:04Z),20,10
Jason Davies (2011-05-12T16:20:07Z),10,20
Mike Bostock (2011-05-12T17:25:05Z),83,2
Mike Bostock (2011-05-12T17:56:31Z),229,111
Mike Bostock (2011-05-12T18:26:09Z),49,26
Mike Bostock (2011-05-12T18:28:31Z),3,5
Mike Bostock (2011-05-12T18:54:38Z),99,30
Mike Bostock (2011-05-12T18:56:15Z),418,129
Jason Davies (2011-05-19T19:57:42Z),132,14
Jason Davies (2011-05-19T20:04:51Z),28,21
Jason Davies (2011-05-20T13:46:30Z),16,0
Mike Bostock (2011-05-20T21:20:17Z),155,2
Mike Bostock (2011-05-20T22:38:09Z),134,56
Mike Bostock (2011-05-20T23:09:29Z),7,25
Mike Bostock (2011-05-20T23:31:51Z),1503,391
Mike Bostock (2011-05-21T19:56:06Z),596,150
Mike Bostock (2011-05-21T20:08:52Z),7,7
Mike Bostock (2011-05-21T23:38:29Z),141,55
Mike Bostock (2011-05-21T23:56:12Z),40,36
Mike Bostock (2011-05-22T00:19:31Z),13,15
Mike Bostock (2011-05-22T00:26:29Z),428,58
Mike Bostock (2011-05-22T00:29:05Z),1193,89
Jason Davies (2011-05-23T22:28:37Z),445,1
Jason Davies (2011-05-25T13:22:00Z),8,1
Mike Bostock (2011-06-04T17:51:32Z),23,10
Mike Bostock (2011-06-04T17:51:48Z),17,19
Nelson Minar (2011-03-26T17:17:57Z),0,0
Nelson Minar (2011-03-26T22:00:41Z),48,3
Nelson Minar (2011-03-26T22:00:53Z),0,0
Michael Bostock (2011-03-27T19:42:40Z),64,43
Michael Bostock (2011-03-31T13:17:06Z),0,0
Mike Bostock (2011-04-09T19:59:18Z),495,191
Mike Bostock (2011-04-09T20:00:56Z),4,4
Mike Bostock (2011-04-09T20:59:03Z),23,21
Mike Bostock (2011-04-11T02:05:11Z),441,22
Mike Bostock (2011-04-11T02:19:31Z),7,1
Mike Bostock (2011-04-11T02:21:58Z),4,4
Nelson Minar (2011-04-11T21:43:36Z),9,1
Nelson Minar (2011-04-11T21:44:15Z),5,5
Nelson Minar (2011-04-11T22:10:06Z),32,0
Nelson Minar (2011-04-11T22:28:43Z),13,8
Nelson Minar (2011-04-11T23:03:44Z),34,4
Nelson Minar (2011-04-11T23:08:48Z),15,7
Nelson Minar (2011-04-12T02:20:08Z),9,3
Nelson Minar (2011-04-12T02:20:45Z),2,2
Mike Bostock (2011-04-12T03:35:31Z),66,32
Mike Bostock (2011-04-14T18:40:57Z),1333,119
Mike Bostock (2011-04-17T18:35:08Z),5,4
Mike Bostock (2011-04-25T05:41:59Z),285,167
Mike Bostock (2011-04-25T05:54:24Z),163,0
Mike Bostock (2011-05-08T00:04:50Z),725,208
Mike Bostock (2011-06-02T19:20:27Z),777,227
Mike Bostock (2011-06-09T05:27:40Z),23,252
Mike Bostock (2011-06-11T19:43:10Z),112,77
Mike Bostock (2011-06-24T03:58:54Z),380,145
Mike Bostock (2011-06-25T17:50:25Z),31,34
Mike Bostock (2011-11-16T01:16:26Z),25,16
Mike Bostock (2011-11-16T01:17:05Z),4,2
Jason Davies (2011-11-16T21:16:14Z),115,12
Jason Davies (2011-11-16T21:23:33Z),1,1
Mike Bostock (2011-11-16T21:45:28Z),6,10
Mike Bostock (2011-11-16T21:53:28Z),25,16
Mike Bostock (2011-11-16T21:54:20Z),121,16
Mike Bostock (2011-11-16T21:55:11Z),136,26
Mike Bostock (2011-11-19T00:52:35Z),4,0
Mike Bostock (2011-11-22T21:08:55Z),22,14
Mike Bostock (2011-11-22T22:36:09Z),107,121
Mike Bostock (2011-11-22T22:38:43Z),127,133
Mike Bostock (2011-11-23T20:05:52Z),211,95
Mike Bostock (2011-11-23T20:30:49Z),134,26
Mike Bostock (2011-11-23T20:44:04Z),41,2
Mike Bostock (2011-11-23T20:44:49Z),8686,1910
Mike Bostock (2011-11-23T20:56:03Z),31,30
Mike Bostock (2011-11-23T20:59:06Z),181,75
Mike Bostock (2011-11-23T20:59:31Z),341,117
Mike Bostock (2011-11-23T20:59:49Z),41,2
Mike Bostock (2011-11-23T21:00:39Z),603,225
Mike Bostock (2011-11-23T21:04:39Z),7,7
Jason Davies (2011-11-23T22:48:13Z),498,498
Jason Davies (2011-11-23T22:54:09Z),20,20
Mike Bostock (2011-11-30T05:36:51Z),7,3
Mike Bostock (2011-11-30T05:55:51Z),10,8
Mike Bostock (2011-11-30T05:56:46Z),7,3
Mike Bostock (2011-11-30T05:57:20Z),10,8
Mike Bostock (2011-11-30T05:57:58Z),535,529
Nathan Vander Wilt (2011-12-07T00:07:45Z),15,2
Mike Bostock (2012-12-20T00:30:40Z),0,73
Mike Bostock (2012-12-20T00:31:52Z),0,51
Mike Bostock (2012-12-20T00:32:54Z),0,129
Mike Bostock (2012-12-20T00:43:06Z),0,58
Mike Bostock (2012-12-20T00:50:07Z),0,0
Mike Bostock (2012-12-20T00:51:52Z),0,115
Mike Bostock (2012-12-20T00:52:08Z),0,157
Mike Bostock (2012-12-20T01:01:55Z),0,70
Mike Bostock (2012-12-20T01:07:27Z),0,154
Mike Bostock (2012-12-20T05:35:52Z),0,255
Mike Bostock (2012-12-20T06:01:07Z),0,109
Mike Bostock (2012-12-20T06:02:30Z),0,62
Mike Bostock (2012-12-20T16:15:20Z),2,0
Mike Bostock (2012-12-20T18:29:10Z),0,38
Mike Bostock (2012-12-20T20:43:45Z),0,70
Mike Bostock (2012-12-20T20:44:12Z),0,89
Mike Bostock (2012-12-20T20:55:26Z),0,111
Mike Bostock (2012-12-20T22:13:45Z),0,64
Mike Bostock (2012-12-20T22:37:10Z),0,381
Mike Bostock (2012-12-20T22:39:56Z),0,265
Mike Bostock (2012-12-20T23:19:05Z),0,229
Mike Bostock (2012-12-20T23:31:38Z),0,106
Mike Bostock (2012-12-20T23:31:59Z),0,90
Mike Bostock (2012-12-20T23:33:13Z),0,276
Mike Bostock (2012-12-20T23:37:09Z),20,10
Mike Bostock (2012-12-21T01:21:49Z),2,2
Mike Bostock (2012-12-21T06:47:10Z),3187,1
Mike Bostock (2012-12-21T17:18:07Z),5,5
Nathan Vander Wilt (2012-12-28T16:37:24Z),23,0
Nathan Vander Wilt (2012-12-28T16:51:49Z),9,9
Mike Bostock (2012-06-14T16:34:45Z),67,40
Mike Bostock (2012-06-19T15:50:37Z),13,9
Mike Bostock (2012-06-19T16:11:53Z),5,5
Mike Bostock (2012-06-19T16:13:08Z),5,5
Mike Bostock (2012-06-19T16:15:34Z),23,19
Dirk Bergstrom (2012-06-20T22:14:10Z),1,3
Mike Bostock (2012-06-22T00:35:23Z),7,5
Mike Bostock (2012-06-22T00:37:34Z),84,53
Mike Bostock (2012-06-24T16:27:09Z),58,64
Mike Bostock (2012-06-24T16:59:41Z),5,7
Mike Bostock (2012-06-24T17:00:28Z),3,3
Mike Bostock (2012-06-24T17:43:13Z),134,7
Mike Bostock (2012-06-24T17:59:06Z),8,12
Mike Bostock (2012-06-24T17:59:40Z),132,3
Mike Bostock (2012-06-24T18:03:14Z),194,75
Mike Bostock (2012-06-25T20:03:55Z),54,36
Mike Bostock (2012-06-28T19:21:32Z),64,86
Mike Bostock (2012-06-29T00:43:26Z),22,20
Jason Davies (2012-07-02T08:27:37Z),8,8
Jason Davies (2012-07-02T16:02:44Z),16,6
Jason Davies (2012-07-02T16:02:52Z),34,0
Mike Bostock (2012-07-02T17:59:06Z),16,36
Mike Bostock (2012-07-02T23:58:54Z),140,82
Mike Bostock (2012-07-03T00:42:23Z),11,6
Mike Bostock (2012-07-03T01:05:51Z),22,20
Mike Bostock (2012-07-03T01:06:23Z),64,86
